	0.06	0.08	0.1	0.12	0.14	0.16	0.18	0.2	0.22	0.24
10	3.053483637	3.068667473	3.08367372	3.081565673	3.079032011	3.062882878	3.046306842	3.039827571	3.04060592	3.060671179
30	2.97939062	2.931125262	2.907790976	3.014176625	3.018947756	2.943145966	2.888551243	2.881458663	2.888301714	3.012844566
50	2.920188472	2.880974192	2.872485343	2.876082372	2.829800623	2.779611783	2.750096737	2.739827514	2.736938853	3.072653281
70	2.943300729	2.905182143	2.82613014	2.769078733	2.720762356	2.690480694	2.681561299	2.757559297	2.978332941	3.727122947
90	2.968488113	2.904076078	2.744179622	2.71579555	2.704695159	2.713261482	2.795490041	3.085661641	3.809701093	4.000712922
110	2.919215519	2.829725906	2.658769497	2.674257258	2.69595731	2.676214471	3.037951015	3.825441706	4.025056559	4.205358369
130	2.995940372	2.650253603	2.682832647	2.667898839	2.736983329	3.611571919	3.951478053	4.186196961	4.321476156	4.551146258
150	2.773068149	2.773477891	2.776433003	2.888442073	3.87392698	4.09386484	4.286709502	4.58726911	4.646201469	4.632928604
166	2.818099386	2.853734345	3.374844764	3.92024771	4.24489421	4.597303625	4.637131371	4.622189754	4.632155272	4.653363893
